count,word,rank,cumulative_fraction
22484400,you,1,0.04278
19975318,i,2,0.0808
17594291,the,3,0.1143
13200962,to,4,0.1394
11230036,a,5,0.1608
10556589,it,6,0.1809
8092405,and,7,0.1963
7789269,that,8,0.2111
6839325,of,9,0.2241
5713829,is,10,0.235
5649786,in,11,0.2457
5391571,what,12,0.256
5206831,we,13,0.2659
5075554,me,14,0.2755
4419586,this,15,0.2839
4295049,he,16,0.2921
4002824,for,17,0.2997
3855861,my,18,0.3071
3731903,on,19,0.3142
3705127,have,20,0.3212
3611383,your,21,0.3281
3437767,do,22,0.3346
3403577,no,23,0.3411
3368812,was,24,0.3475
3319097,not,25,0.3538
3290764,are,26,0.3601
3269470,don,27,0.3663
3258954,be,28,0.3725
3010563,know,29,0.3783
2974080,can,30,0.3839
2955209,with,31,0.3895
2794737,but,32,0.3949
2726999,all,33,0.4
2627759,so,34,0.405
2538768,just,35,0.4099
2448203,here,36,0.4145
2435611,there,37,0.4192
2366899,they,38,0.4237
2286933,like,39,0.428
2238814,get,40,0.4323
2158362,she,41,0.4364
2153280,go,42,0.4405
2041724,if,43,0.4444
1974545,right,44,0.4481
1937990,out,45,0.4518
1911008,about,46,0.4555
1910433,up,47,0.4591
1904981,him,48,0.4627
1879311,at,49,0.4663
1768245,now,50,0.4697
1757361,one,51,0.473
1743498,come,52,0.4763
1719430,oh,53,0.4796
1681932,her,54,0.4828
1666673,how,55,0.486
1621442,well,56,0.489
1539938,will,57,0.492
1535169,want,58,0.4949
1521716,got,59,0.4978
1499782,yeah,60,0.5006
1416770,think,61,0.5033
1386818,see,62,0.506
1374881,as,63,0.5086
1354196,who,64,0.5112
1353790,good,65,0.5138
1351530,why,66,0.5163
1348472,did,67,0.5189
1335090,let,68,0.5214
1320557,from,69,0.5239
1292908,his,70,0.5264
1272870,yes,71,0.5288
1184778,when,72,0.5311
1178719,going,73,0.5333
1158454,l,74,0.5355
1117568,an,75,0.5377
1117449,time,76,0.5398
1088055,back,77,0.5419
1077767,okay,78,0.5439
1050480,look,79,0.5459
1046373,us,80,0.5479
1036121,where,81,0.5499
1034857,them,82,0.5518
1030966,take,83,0.5538
1024970,would,84,0.5557
1012596,were,85,0.5577
985863,then,86,0.5595
980608,or,87,0.5614
979259,had,88,0.5633
970279,been,89,0.5651
922643,tell,90,0.5669
921974,our,91,0.5686
910369,man,92,0.5704
903823,some,93,0.5721
901201,say,94,0.5738
898387,really,95,0.5755
897629,gonna,96,0.5772
879676,hey,97,0.5789
857107,could,98,0.5805
853640,didn,99,0.5821
841594,by,100,0.5837
803111,has,101,0.5853
802331,something,102,0.5868
800203,too,103,0.5883
796316,need,104,0.5898
780363,more,105,0.5913
768867,way,106,0.5928
761224,down,107,0.5942
745120,make,108,0.5957
728075,never,109,0.597
726857,very,110,0.5984
691912,only,111,0.5997
681599,over,112,0.601
679620,people,113,0.6023
674954,because,114,0.6036
665616,little,115,0.6049
657147,please,116,0.6061
